Jour,Date,Mois,Fête du jour,Evénement / Dicton
Samedi,21,Février,Damien,En février un mois varie tant la vieille au feu s'écrie
Dimanche,22,Février,Isabelle,Jamais février n'a passé sans voir groseiller feuiller
Lundi,23,Février,Lazare,Quand il tonne en février monte les tonneaux au grenier
Mardi,24,Février,Modeste,À la Saint-Matthias la neige au nord le soleil au midi
Mercredi,25,Février,Roméo,Fleur de février va mal au pommier
Jeudi,26,Février,Nestor,Février trop chaud été sans fruits
Vendredi,27,Février,Honorine,Février bon tavernier remplit cave et grenier
Samedi,28,Février,Romain,Février neigeux printemps gracieux
Dimanche,1,Mars,Aubin,Mars poudreux an heureux
Lundi,2,Mars,Charles le Bon,Quand mars mouillera bien du vin tu auras
Mardi,3,Mars,Guénolé,En mars autant de gelées autant de rosées en mai
Mercredi,4,Mars,Casimir,Taille tôt taille tard rien ne vaut la taille de mars
Jeudi,5,Mars,Olive,Au premier mars les mouches se réveillent
Vendredi,6,Mars,Colette,Quand en mars il tonne l'année sera bonne
Samedi,7,Mars,Félicité,Brouillard en mars gelée en mai
Dimanche,8,Mars,Jean de Dieu,Journée internationale des droits des femmes - Mars sec avril humide
Lundi,9,Mars,Françoise,Pluie de mars vaut or car elle est fort rare
Mardi,10,Mars,Vivien,Mars venteux avril pluvieux font le mai gai et gracieux
Mercredi,11,Mars,Rosine,Quand mars se déguise en été avril prend ses habits fourrés
Jeudi,12,Mars,Justine,Mars sec et beau remplit caves et tonneaux
Vendredi,13,Mars,Rodrigue,Poussière de mars est poussière d'or
Samedi,14,Mars,Mathilde,En mars vent ou pluie à chacun sa maison
Dimanche,15,Mars,Louise,Brouillard en mars frimas en mai
Lundi,16,Mars,Bénédicte,À la mi-mars le coucou est mort ou vif
Mardi,17,Mars,Patrick,Saint-Patrick - Quand il fait doux à la Saint-Patrice de leurs trous sortent les écrevisses
Mercredi,18,Mars,Cyrille,Mars qui rit malgré les averses prépare en secret le printemps
Jeudi,19,Mars,Joseph,À la Saint-Joseph beau temps promesse de bon an
Vendredi,20,Mars,Herbert,Printemps - S'il fait beau à la Saint-Herbert au jardin tout se perd
Samedi,21,Mars,Clémence,Mars pluvieux an disetteux
Dimanche,22,Mars,Léa,Taille à la Saint-Léa une grappe à chaque sarment tu auras
Lundi,23,Mars,Victorien,Quand à glace il gèle à la Saint-Victorien en poche bien peu de grain
Mardi,24,Mars,Catherine de Suède,Semailles de mars tiennent ou ne tiennent pas
Mercredi,25,Mars,Annonciation,Quand il pleut à la Saint-Georges de vin il n'y a guère
Jeudi,26,Mars,Larissa,Les giboulées de mars sont bonnes pour les blés
Vendredi,27,Mars,Habib,Mars venteux vergers pommeux
Samedi,28,Mars,Gontran,Quand en mars il tonne l'année sera bonne
Dimanche,29,Mars,Gwladys,Passage à l'heure d'été - En mars quand le merle a sifflé l'hiver s'en est allé
Lundi,30,Mars,Amédée,Si mars vient comme un agneau il s'en va comme un renard
Mardi,31,Mars,Benjamin,Quand mars se déguise en été avril prend ses habits fourrés
Mercredi,1,Avril,Hugues,Poisson d'avril - En avril ne te découvre pas d'un fil
Jeudi,2,Avril,Sandrine,Avril pluvieux et mai venteux font l'an fructueux
Vendredi,3,Avril,Richard,Un bon avril vaut mieux qu'un beau mois de mai
Samedi,4,Avril,Isidore,Mars et avril font la fleur mai en a tout l'honneur
Dimanche,5,Avril,Irène,Gelée d'avril ou de mai misère nous prédit pour vrai
Lundi,6,Avril,Marcellin,Au mois d'avril le blé est en épi
Mardi,7,Avril,Jean-Baptiste,Avril fait la fleur mai en a l'honneur
Mercredi,8,Avril,Julie,Pluie d'avril remplit grange et fenil
Jeudi,9,Avril,Gautier,Avril pleureux marie Pomone à Bacchus
Vendredi,10,Avril,Fulbert,Avril entrant comme un agneau s'en retourne comme un taureau
Samedi,11,Avril,Stanislas,Lorsqu'avril est froid et pluvieux tout le mois n'en vaut que mieux
Dimanche,12,Avril,Jules,En avril on plante le maïs en mai on lui donne de l'engrais
Lundi,13,Avril,Ida,Quand avril est froid et pluvieux la moisson sera pour le mieux
Mardi,14,Avril,Maxime,Avril doux mai venteux font l'an bienheureux
Mercredi,15,Avril,Patern,Quand avril se met en fureur il est le pire laboureur
Jeudi,16,Avril,Benoît-Joseph,Gelée d'avril ou de mai misère au courtil
Vendredi,17,Avril,Anicet,Souvent avril pluvieux fait le mai joyeux
Samedi,18,Avril,Parfait,Un temps trop beau en avril est un mauvais signe pour le blé
Dimanche,19,Avril,Emma,À la Sainte-Emma emmitonne-toi
Lundi,20,Avril,Odette,Avril fait les fleurs et mai en a les honneurs
Mardi,21,Avril,Anselme,Nuée d'avril fait pluie venir ou soleil luire
Mercredi,22,Avril,Alexandre,Pluie d'avril ne vaut pas le bruit d'un sourcil
Jeudi,23,Avril,Georges,À la Saint-Georges sème ton orge à la Saint-Marc il est trop tard
Vendredi,24,Avril,Fidèle,Quand avril est beau c'est un signe de malheur pour le paysan
Samedi,25,Avril,Marc,À la Saint-Marc s'il tombe de l'eau il n'y aura pas de fruits à couteau
Dimanche,26,Avril,Alida,Pluie d'avril vaut char de fumier
Lundi,27,Avril,Zita,Avril fait les fleurs mai en a tous les honneurs
Mardi,28,Avril,Valérie,Il n'est si gentil mois d'avril qui n'ait son chapeau de grésil
Mercredi,29,Avril,Catherine de Sienne,En avril le sureau doit fleurir sinon le paysan va souffrir
Jeudi,30,Avril,Robert,Avril pluvieux et mai venteux font l'an fructueux
Vendredi,1,Mai,Fête du Travail,Fête du Travail - En mai fait ce qu'il te plaît
Samedi,2,Mai,Boris,Rosée du mois de mai rend le laboureur gai
Dimanche,3,Mai,Philippe,Le mois de mai de l'année décide la destinée
Lundi,4,Mai,Sylvain,Mai froid n'enrichit personne mais il est excellent quand il tonne
Mardi,5,Mai,Judith,Mai pluvieux marie Pomone et Jupiter
Mercredi,6,Mai,Prudence,Pluies de mai granges pleines de blé
Jeudi,7,Mai,Gisèle,Au mois de mai manteau jeté
Vendredi,8,Mai,Victoire 1945,Armistice 1945 - Mai frileux an langoureux mai fleuri an réjoui
Samedi,9,Mai,Pacôme,Le premier mai n'a jamais passé sans que le cerisier ne soit dépouillé
Dimanche,10,Mai,Solange,Bon fermier à Sainte-Solange ne compte que sur ses semailles de printemps
Lundi,11,Mai,Estelle,Quand il pleut à la Saint-Estelle c'est le mois de la grêle
Mardi,12,Mai,Achille,À la Saint-Achille fille file et garçon semaille
Mercredi,13,Mai,Rolande,Saint-Rolande sans orage apporte froment orge et graines
Jeudi,14,Mai,Matthias,À la Saint-Matthias la terre de germer ne se lasse
Vendredi,15,Mai,Denise,À la Sainte-Denise le froid n'en fait plus à sa guise
Samedi,16,Mai,Honoré,À la Saint-Honoré s'il fait gelée le vin diminue de moitié
Dimanche,17,Mai,Pascal,Bon vent à la Saint-Pascal donne du fruit à foison
Lundi,18,Mai,Éric,Mariages de mai ne fleurissent jamais
Mardi,19,Mai,Yves,À la Saint-Yves le beau temps arrive
Mercredi,20,Mai,Bernardin,Soleil à la Saint-Bernardin compte sur le bon vin
Jeudi,21,Mai,Constantin,Mai jardinier ne comble pas le grenier
Vendredi,22,Mai,Émile,Pluie de mai fleurit la vigne
Samedi,23,Mai,Didier,Beau mai amène pain et vin
Dimanche,24,Mai,Donatien,Mai frais et venteux fait l'an plantureux
Lundi,25,Mai,Sophie,À la Sainte-Sophie ce qui est mûr est pourri
Mardi,26,Mai,Bérenger,Qui en mai vit de lait en hiver vit de regret
Mercredi,27,Mai,Augustin,Pluie de la Saint-Augustin c'est de la pluie pour le grain
Jeudi,28,Mai,Germain,Saint-Germain amène le beau temps
Vendredi,29,Mai,Aymar,Chaleur de mai verdit la haie
Samedi,30,Mai,Ferdinand,Un mai froid et venteux fait l'an plantureux
Dimanche,31,Mai,Visitation,Beaucoup de mai beaucoup de blé
Lundi,1,Juin,Justin,Juin bien fleuri vrai paradis
Mardi,2,Juin,Blandine,Pluie de juin ruine le moulin
Mercredi,3,Juin,Kevin,Juin froid et pluvieux tout l'an sera grincheux
Jeudi,4,Juin,Clotilde,À la Sainte-Clotilde de fleur en buisson c'est la quenouille
Vendredi,5,Juin,Igor,En juin trop de pluie et le jardinier s'ennuie
Samedi,6,Juin,Norbert,Juin larmoyeux rend le laboureur joyeux
Dimanche,7,Juin,Gilbert,Brouillard de juin amène le raisin
Lundi,8,Juin,Médard,S'il pleut à la Saint-Médard il pleut quarante jours plus tard
Mardi,9,Juin,Diane,À la Saint-Diane qui verra la lune aura de la fortune
Mercredi,10,Juin,Landry,Si le jour de Saint-Landry la pluie commence elle dure jusqu'en juillet
Jeudi,11,Juin,Barnabé,À la Saint-Barnabé fauche ton pré
Vendredi,12,Juin,Guy,Pluie de Saint-Guy c'est tout l'an qui rit
Samedi,13,Juin,Antoine de Padoue,À la Saint-Antoine le soleil luit ou cesse de luire
Dimanche,14,Juin,Élisée,Pluie de juin fait belle avoine et maigre foin
Lundi,15,Juin,Germaine,Qui sème haricots à la Sainte-Germaine en récolte à la tonne
Mardi,16,Juin,Jean-François Régis,Soleil à la Saint-Régis nous annonce de beaux épis
Mercredi,17,Juin,Hervé,Souvent juin ensoleillé réjouit le fermier
Jeudi,18,Juin,Léonce,S'il tonne au mois de juin année de paille année de rien
Vendredi,19,Juin,Romuald,Pluie de juin fait belle avoine et maigre foin
Samedi,20,Juin,Silvère,Temps trop beau en juin n'amène rien
Dimanche,21,Juin,Rodolphe,Été - Premier jour d'été - En juin beaucoup de pluie en mars beaucoup de fourrage
Lundi,22,Juin,Alban,Coucher de soleil rouge en juin annonce du vent pour demain
Mardi,23,Juin,Audrey,Chaleur de juin fait pain et vin
Mercredi,24,Juin,Jean-Baptiste,La pluie de Saint-Jean ôte le vin et ne donne pas de pain
Jeudi,25,Juin,Prosper,Sécheresse de juin met le grain à l'étui
Vendredi,26,Juin,Anthelme,Juin brûlant met le grain à néant
Samedi,27,Juin,Fernand,À la Saint-Fernand est beau quand il ne pleut pas
Dimanche,28,Juin,Irénée,Rosée de juin rend bon le grain
Lundi,29,Juin,Pierre et Paul,Si Saint-Pierre pleure Saint-Paul rit
Mardi,30,Juin,Martial,Juin froid et pluvieux tout l'an sera grincheux
Mercredi,1,Juillet,Thierry,Juillet sans orage famine au village
Jeudi,2,Juillet,Martinien,S'il pleut à la Saint-Martinien compte sur peu de grains
Vendredi,3,Juillet,Thomas,À la Saint-Thomas commence à mûrir le bon raisin gros
Samedi,4,Juillet,Florent,Beau temps à la Saint-Florent donne abondance de froment
Dimanche,5,Juillet,Antoine,Juillet doit rôtir ce que septembre mûrit
Lundi,6,Juillet,Mariette,Pluie du matin en juillet est bonne au vin
Mardi,7,Juillet,Raoul,Juillet ensoleillé remplit cave et grenier
Mercredi,8,Juillet,Thibaut,Temps à la Saint-Thibaut tient toujours très haut
Jeudi,9,Juillet,Amandine,Ciel ouvert et joyeux à la Sainte-Amandine annonce une avoine fine
Vendredi,10,Juillet,Ulrich,En juillet mois d'abondance le pauvre a toujours sa pitance
Samedi,11,Juillet,Benoît,Quand juillet est bon laboureur la vigne gagne sa couleur
Dimanche,12,Juillet,Olivier,Saint-Olivier sec et beau met l'abondance du bon vin en réserve
Lundi,13,Juillet,Henri,En juillet chaud et tranquille laboureur fait sa garbouille
Mardi,14,Juillet,Camille,Fête nationale française - Qui veut bon navet le sème en juillet
Mercredi,15,Juillet,Donald,À la Saint-Donald pluie abondante année mécontente
Jeudi,16,Juillet,Notre-Dame du Mont-Carmel,Quand il tonne en juillet il faut beaucoup d'eau pour remplir le barillet
Vendredi,17,Juillet,Charlotte,Juillet sans orage famine au village
Samedi,18,Juillet,Frédéric,Jamais en juillet sécheresse n'a causé la moindre détresse
Dimanche,19,Juillet,Arsène,À la Saint-Arsène s'il fait chaud et serein bon vin en vendange prochaine
Lundi,20,Juillet,Marina,S'il pleut à la Sainte-Marina c'est de la pluie pour une semaine
Mardi,21,Juillet,Victor,En juillet mois de langueur à défricher sois un ardeur
Mercredi,22,Juillet,Marie-Madeleine,Pluie de Madeleine est pluie de grains
Jeudi,23,Juillet,Brigitte,À la Sainte-Brigitte chaleur pour la courgette
Vendredi,24,Juillet,Christine,Pluie de Sainte-Christine donne farine et mauvais raisin
Samedi,25,Juillet,Jacques,Saint-Jacques - À la Saint-Jacques souvent sec mais en abondance fait mettre à sac
Dimanche,26,Juillet,Anne et Joachim,À la Sainte-Anne si la pluie sort des nuages elle durera trente jours sans faillir
Lundi,27,Juillet,Nathalie,À la Sainte-Nathalie la figue devient rosée
Mardi,28,Juillet,Samson,En juillet un beau soir après la chaleur promet du beau temps pour demain
Mercredi,29,Juillet,Marthe,À la Sainte-Marthe chaleur annonce vendanges vertes
Jeudi,30,Juillet,Juliette,Juillet tout à-coup couvé laboure fort et ne sème nul orge
Vendredi,31,Juillet,Ignace de Loyola,En juillet mois d'abondance le pauvre a toujours sa pitance
Samedi,1,Août,Alphonse,Août mûrit les fruits septembre les cueille
Dimanche,2,Août,Julien Eymard,Temps de Sainte-Julienne est bon pour la noisette pleine
Lundi,3,Août,Lydie,Quand août est bon octobre est bon
Mardi,4,Août,Jean-Marie Vianney,Si août est pluvieux septembre sera radieux
Mercredi,5,Août,Abel,Le temps qu'il fait en août prévoit celui de tout
Jeudi,6,Août,Transfiguration,Pluie à la Transfiguration pluie à discrétion
Vendredi,7,Août,Gaétan,Mois d'août bien chaud fait mûrir raisins et moût
Samedi,8,Août,Dominique,Si le mois d'août est chaud prépare tes tonneaux
Dimanche,9,Août,Amour,Forte chaleur à la Saint-Amour annonce de la neige pour quelques jours
Lundi,10,Août,Laurent,À la Saint-Laurent la pluie fait mal au froment
Mardi,11,Août,Claire,Qui sème à la Sainte-Claire ne récolte guère
Mercredi,12,Août,Clarisse,Pluie de la Sainte-Clarisse assure du purin dans les fosses
Jeudi,13,Août,Hippolyte,Temps trop beau en août annonce hiver en courroux
Vendredi,14,Août,Évrard,Temps d'août et temps nouveau c'est du vin dans les tonneaux
Samedi,15,Août,Assomption,Fête de l'Assomption - S'il pleut à la mi-août les noisettes diminuent beaucoup
Dimanche,16,Août,Armel,De septembre la chaleur brûle d'août toute la verdeur
Lundi,17,Août,Hyacinthe,En août mois des moissons laisse reposer la terre qui te donna tant de bons grains
Mardi,18,Août,Hélène,Brouillard en août vient demander le soir
Mercredi,19,Août,Jean Eudes,Celui qui se repose le jour de la Saint-Jean Eudes sera du froid récompensé
Jeudi,20,Août,Bernard,À la Saint-Bernard écrase la noisette sous la dent
Vendredi,21,Août,Christophe,Au mois d'août le vin naît dans le moût
Samedi,22,Août,Fabrice,Pluie de Saint-Fabrice bien au fermier ne nuira pas
Dimanche,23,Août,Rose de Lima,Août et vendanges en leurs tournées rendent le vigneron gai
Lundi,24,Août,Barthélemy,À la Saint-Barthélemy paresseux à la vigne tu peux dire adieu
Mardi,25,Août,Louis,Soleil de Saint-Louis envoie du moût dans les pipeaux
Mercredi,26,Août,Natacha,En août et vendanges bonnes caves et granges
Jeudi,27,Août,Monique,Août mûrit prunes et poires mais pas les imbéciles
Vendredi,28,Août,Augustin,En août quiconque dormira sur midi s'en repentira
Samedi,29,Août,Sabine,À la Sainte-Sabine toute besogne cesse vers vêpres
Dimanche,30,Août,Fiacre,À la Saint-Fiacre le jardinier dit son dernier mot de l'année
Lundi,31,Août,Aristide,Août est de tous les mois le plus chaud c'est pourquoi tu dois lui tourner le dos
Mardi,1,Septembre,Gilles,Septembre se montre souvent comme un second printemps
Mercredi,2,Septembre,Ingrid,Pluie de septembre est bonne aux semailles
Jeudi,3,Septembre,Grégoire,À la Saint-Grégoire annonce du froid si un jour de fête aura lieu avant décembre
Vendredi,4,Septembre,Rosalie,Septembre humide pas de tonneaux vides
Samedi,5,Septembre,Raïssa,En septembre le fainéant peut aller se pendre
Dimanche,6,Septembre,Bertrand,Septembre froid et humide fait fuir la bise d'octobre
Lundi,7,Septembre,Reine,Pluie de septembre les bonnes terres rend tendres
Mardi,8,Septembre,Nativité de Marie,Temps clair le soir de la Nativité apporte l'abondance et la sécheresse de l'été
Mercredi,9,Septembre,Alain,À la Saint-Alain beau temps signe de liesse
Jeudi,10,Septembre,Inès,Si septembre se passe sans orage le fruit gâte par la ramure
Vendredi,11,Septembre,Adelphe,Le lendemain de la mi-septembre fais battre ton grain et le vendre
Samedi,12,Septembre,Apollinaire,Septembre nous produit les plus délicieux fruits
Dimanche,13,Septembre,Aimé,Beau temps à la Saint-Aimé c'est la Saint-Michel prolongé
Lundi,14,Septembre,Croix Glorieuse,Si septembre est sans pluie la moisson n'est jamais perdue
Mardi,15,Septembre,Roland,Pluie de septembre vaut mieux que chars d'engrais
Mercredi,16,Septembre,Édith,Septembre humide pas de tonneaux vides
Jeudi,17,Septembre,Renaud,En septembre le raisin ou la figue
Vendredi,18,Septembre,Nadège,À la Sainte-Nadège cueille ton raisin que ta cuve soit vide ou pleine
Samedi,19,Septembre,Émilie,Septembre moite et chaud fait le cellier sans défaut
Dimanche,20,Septembre,Davy,À la Saint-Davy mauvaise semaine pour les avis
Lundi,21,Septembre,Matthieu,Si Matthieu pleure au lieu de rire le vin en vinaigre vire
Mardi,22,Septembre,Maurice,Automne - En septembre le fainéant peut aller se pendre
Mercredi,23,Septembre,Constant,À la Saint-Constant le temps change obligatoirement
Jeudi,24,Septembre,Thècle,Le retour du froid à la Sainte-Thècle rend le laboureur perplexe
Vendredi,25,Septembre,Hermann,Temps de la Saint-Hermann temps de restes et d'abandons
Samedi,26,Septembre,Côme et Damien,Soleil à la Saint-Côme tire encore les cuves au-dessus
Dimanche,27,Septembre,Vincent de Paul,Quand tombe la Sainte-Justine tout les raisins sont en vendange
Lundi,28,Septembre,Venceslas,Pluie de septembre vendanges abondantes
Mardi,29,Septembre,Michel,À la Saint-Michel la chaleur remonte au ciel
Mercredi,30,Septembre,Jérôme,Septembre en rosée abondante garde les vignes de disette
Jeudi,1,Octobre,Thérèse de l'Enfant-Jésus,Octobre en brumes sombres fait entrer l'hiver dans les chaumières
Vendredi,2,Octobre,Léger,À la Saint-Léger n'oublie pas tes vendanges
Samedi,3,Octobre,Gérard,Temps clair à la Saint-Gérard présage d'un hiver rigoureux
Dimanche,4,Octobre,François d'Assise,À la Saint-François la neige est sur le bois
Lundi,5,Octobre,Fleur,Si octobre est trop chaud en février la glace au carreau
Mardi,6,Octobre,Bruno,En octobre qui ne fume rien ne récolte rien
Mercredi,7,Octobre,Serge,Octobre est le mois du lait
Jeudi,8,Octobre,Pélagie,Si octobre est trop chaud en février la glace au carreau
Vendredi,9,Octobre,Denis,À la Saint-Denis bouche ton baril
Samedi,10,Octobre,Ghislain,À la Saint-Ghislain temps clair et serein annonce bon vin
Dimanche,11,Octobre,Firmin,À la Saint-Firmin l'hiver est en chemin
Lundi,12,Octobre,Wilfried,En octobre tonnerre fait vendanges prospères
Mardi,13,Octobre,Géraud,En octobre qui ne fume rien ne récolte rien
Mercredi,14,Octobre,Juste,En octobre brumes courtes pluies longues
Jeudi,15,Octobre,Thérèse d'Avila,En octobre il fait bon semer et peut-on encore planter
Vendredi,16,Octobre,Edwige,À la Sainte-Edwige prends garde au risque de la neige
Samedi,17,Octobre,Baudouin,En octobre celui qui se marie est pour toute sa vie entravé
Dimanche,18,Octobre,Luc,À la Saint-Luc sème ta laitue
Lundi,19,Octobre,René,En octobre tonnerre fait vendanges prospères
Mardi,20,Octobre,Adeline,Brouillards d'octobre pluies de novembre
Mercredi,21,Octobre,Céline,En octobre qui ne fume rien ne peut rien
Jeudi,22,Octobre,Élodie,Gelée d'octobre rend le vigneron sobre
Vendredi,23,Octobre,Jean de Capistran,À la Saint-Jean d'automne les jours diminuent comme la pomme
Samedi,24,Octobre,Florentin,À la Saint-Florentin le froid nous guette et prend fin le vin nouveau
Dimanche,25,Octobre,Crépin,Passage à l'heure d'hiver - En octobre si la gelée blanchit les toits c'est la misère pour trois mois
Lundi,26,Octobre,Dimitri,Quand en octobre il tonne dans l'air l'hiver sera rude et sévère
Mardi,27,Octobre,Émeline,Mois d'octobre de rosée abonde sans grêle et sans gelée
Mercredi,28,Octobre,Simon et Jude,À la Saint-Simon et Saint-Jude abats les noix à grands coups de gaule
Jeudi,29,Octobre,Narcisse,Ventre creux ne s'emplit pas de projet disait narcisse
Vendredi,30,Octobre,Bienvenue,Pluie à la Sainte-Bienvenue annonce un hiver souvent très rude
Samedi,31,Octobre,Quentin,Halloween - Brouillard d'octobre pluie de novembre font bon décembre
Dimanche,1,Novembre,Toussaint,Toussaint - À la Toussaint commence l'été de la Saint-Martin
Lundi,2,Novembre,Défunts,Jour des morts - Telle Toussaint tel Noël et Pâques pareil
Mardi,3,Novembre,Hubert,À la Saint-Hubert les oies sauvages fuient l'hiver
Mercredi,4,Novembre,Charles,À la Saint-Charles la gelée parle
Jeudi,5,Novembre,Sylvie,Quand en novembre la pluie noie la terre ce sera du bien pour tout l'hiver
Vendredi,6,Novembre,Bertille,Neige de novembre vaut mieux que le fumier le plus gras
Samedi,7,Novembre,Carine,En novembre s'il tonne l'année sera bonne
Dimanche,8,Novembre,Geoffroy,À la Saint-Geoffroy la petite neige annonce souvent un hiver bien froid
Lundi,9,Novembre,Théodore,Quand en novembre il a tonné l'hiver est avorté
Mardi,10,Novembre,Léon,À la Saint-Léon les arbres perdent leur robe
Mercredi,11,Novembre,Martin,Armistice 1918 - À la Saint-Martin bois le vin et laisse l'eau au moulin
Jeudi,12,Novembre,Christian,À la Saint-Christian fais le cheval entrer au quartier d'hiver
Vendredi,13,Novembre,Brice,À la Saint-Brice le soleil brille encore pour Maurice
Samedi,14,Novembre,Sidoine,Pour Saint-Sidoine tire ton vin et mets-le en tonne
Dimanche,15,Novembre,Albert,À la Saint-Albert dans la cave le bon vin chante
Lundi,16,Novembre,Marguerite,À la Sainte-Marguerite baisse ta sève et ralentis ta brouette
Mardi,17,Novembre,Élisabeth,À la Sainte-Élisabeth tout ce qui porte fourrure est de sortie
Mercredi,18,Novembre,Aude,En novembre on se met à l'heure du feu
Jeudi,19,Novembre,Tanguy,Saint-Tanguy n'amène pas le printemps mais il prépare la Noël
Vendredi,20,Novembre,Edmond,À la Saint-Edmond plante oignons ronds
Samedi,21,Novembre,Présentation de Marie,Quand l'hiver vient avant novembre il ne fait que courir
Dimanche,22,Novembre,Cécile,À la Sainte-Cécile si l'on voit le soleil briller c'est un hiver menaçant
Lundi,23,Novembre,Clément,Saint-Clément montre rarement beau temps
Mardi,24,Novembre,Flora,À la Sainte-Flora plus rien ne fleurit déjà
Mercredi,25,Novembre,Catherine,À la Sainte-Catherine tout bois prend racine
Jeudi,26,Novembre,Delphine,Sainte-Delphine toute en finesse nous apporte souvent tristesse
Vendredi,27,Novembre,Séverin,Quand novembre débute l'hiver se rebute
Samedi,28,Novembre,Jacques de la Marche,En novembre s'il tonne les biens de la terre seront bons
Dimanche,29,Novembre,Saturnin,Brouillards en novembre l'hiver sera tendre
Lundi,30,Novembre,André,Quand l'hiver n'est pas pressé il arrive à la Saint-André
Mardi,1,Décembre,Florence,Décembre aux pieds blancs s'en vient an nouveau branlant
Mercredi,2,Décembre,Viviane,Décembre trop beau été dans l'eau
Jeudi,3,Décembre,François-Xavier,Quand décembre est sous la neige la récolte se protège
Vendredi,4,Décembre,Barbara,À la Sainte-Barbe le soleil peu arde
Samedi,5,Décembre,Gérald,Neige de Saint-Gérald amène Noël au chalet
Dimanche,6,Décembre,Nicolas,Saint-Nicolas - Soleil de Saint-Nicolas donne froid pour trois mois
Lundi,7,Décembre,Ambroise,Décembre de froid trop chiche ne fait pas le paysan riche
Mardi,8,Décembre,Immaculée Conception,À la fête de l'Immaculée l'hiver plante sa tente
