Tableau 1
;;;;;;
Jour;Date;Mois;Fête du jour;Evénement / Dicton;;
Lundi;4;Mai;Sylvain;;;
Mardi;5;Mai;Judith;;;
Mercredi;6;Mai;Prudence;;;
Jeudi;7;Mai;Gisèle;;;
Vendredi;8;Mai;Victoire 1945;Armistice 1945;;
Samedi;9;Mai;Pacôme;;;
Dimanche;10;Mai;Solange;;;
Lundi;11;Mai;Estelle;;;
Mardi;12;Mai;Achille;;;
Mercredi;13;Mai;Rolande;;;
Jeudi;14;Mai;Matthias;Ascension;;
Vendredi;15;Mai;Denise;;;
Samedi;16;Mai;Honoré;;;
Dimanche;17;Mai;Pascal;;;
Lundi;18;Mai;Éric;;;
Mardi;19;Mai;Yves;;;
Mercredi;20;Mai;Bernardin;;;
Jeudi;21;Mai;Constantin;;;
Vendredi;22;Mai;Émile;;;
Samedi;23;Mai;Didier;;;
Dimanche;24;Mai;Donatien;Pentecôte;;
Lundi;25;Mai;Sophie;Lundi de Pentecôte - À la Sainte-Sophie ce qui est mûr est pourri;;
Mardi;26;Mai;Bérenger;;;
Mercredi;27;Mai;Augustin;;;
Jeudi;28;Mai;Germain;;;
Vendredi;29;Mai;Aymar;;;
Samedi;30;Mai;Ferdinand;;;
Dimanche;31;Mai;Visitation;Beaucoup de mai beaucoup de blé;;
Lundi;1;Juin;Justin;;;
Mardi;2;Juin;Blandine;;;
Mercredi;3;Juin;Kevin;;;
Jeudi;4;Juin;Clotilde;;;
Vendredi;5;Juin;Igor;;;
Samedi;6;Juin;Norbert;;;
Dimanche;7;Juin;Gilbert;;;
Lundi;8;Juin;Médard;S'il pleut à la Saint-Médard il pleut quarante jours plus tard;;
Mardi;9;Juin;Diane;;;
Mercredi;10;Juin;Landry;;;
Jeudi;11;Juin;Barnabé;À la Saint-Barnabé fauche ton pré;;
Vendredi;12;Juin;Guy;;;
Samedi;13;Juin;Antoine de Padoue;À la Saint-Antoine le soleil luit ou cesse de luire;;
Dimanche;14;Juin;Élisée;;;
Lundi;15;Juin;Germaine;Qui sème haricots à la Sainte-Germaine en récolte à la tonne;;
Mardi;16;Juin;Jean-François Régis;;;
Mercredi;17;Juin;Hervé;;;
Jeudi;18;Juin;Léonce;;;
Vendredi;19;Juin;Romuald;;;
Samedi;20;Juin;Silvère;;;
Dimanche;21;Juin;Rodolphe;Été - Premier jour d'été;;
Lundi;22;Juin;Alban;;;
Mardi;23;Juin;Audrey;;;
Mercredi;24;Juin;Jean-Baptiste;La pluie de Saint-Jean ôte le vin et ne donne pas de pain;;
Jeudi;25;Juin;Prosper;;;
Vendredi;26;Juin;Anthelme;;;
Samedi;27;Juin;Fernand;;;
Dimanche;28;Juin;Irénée;;;
Lundi;29;Juin;Pierre et Paul;Si Saint-Pierre pleure Saint-Paul rit;;
Mardi;30;Juin;Martial;Juin froid et pluvieux tout l'an sera grincheux;;
Mercredi;1;Juillet;Thierry;;;
Jeudi;2;Juillet;Martinien;;;
Vendredi;3;Juillet;Thomas;;;
Samedi;4;Juillet;Florent;;;
Dimanche;5;Juillet;Antoine;;;
Lundi;6;Juillet;Mariette;;;
Mardi;7;Juillet;Raoul;;;
Mercredi;8;Juillet;Thibaut;;;
Jeudi;9;Juillet;Amandine;;;
Vendredi;10;Juillet;Ulrich;;;
Samedi;11;Juillet;Benoît;;;
Dimanche;12;Juillet;Olivier;;;
Lundi;13;Juillet;Henri / Joël;;;
Mardi;14;Juillet;Camille;Fête nationale française;;
Mercredi;15;Juillet;Donald;À la Saint-Donald pluie abondante année mécontente;;
Jeudi;16;Juillet;Notre-Dame du Mont-Carmel;;;
Vendredi;17;Juillet;Charlotte;Juillet sans orage famine au village;;
Samedi;18;Juillet;Frédéric;;;
Dimanche;19;Juillet;Arsène;;;
Lundi;20;Juillet;Marina;;;
Mardi;21;Juillet;Victor;;;
Mercredi;22;Juillet;Marie-Madeleine;;;
Jeudi;23;Juillet;Brigitte;;;
Vendredi;24;Juillet;Christine;;;
Samedi;25;Juillet;Jacques;Saint-Jacques - À la Saint-Jacques souvent sec mais en abondance fait mettre à sac;;
Dimanche;26;Juillet;Anne et Joachim;;;
Lundi;27;Juillet;Nathalie;;;
Mardi;28;Juillet;Samson;;;
Mercredi;29;Juillet;Marthe;À la Sainte-Marthe chaleur annonce vendanges vertes;;
Jeudi;30;Juillet;Juliette;;;
Vendredi;31;Juillet;Ignace de Loyola;En juillet mois d'abondance le pauvre a toujours sa pitance;;
Samedi;1;Août;Alphonse;Août mûrit les fruits septembre les cueille;;
Dimanche;2;Août;Julien Eymard;;;
Lundi;3;Août;Lydie;;;
Mardi;4;Août;Jean-Marie Vianney;;;
Mercredi;5;Août;Abel;;;
Jeudi;6;Août;Transfiguration;;;
Vendredi;7;Août;Gaétan;;;
Samedi;8;Août;Dominique;;;
Dimanche;9;Août;Amour;;;
Lundi;10;Août;Laurent;À la Saint-Laurent la pluie fait mal au froment;;
Mardi;11;Août;Claire;;;
Mercredi;12;Août;Clarisse;;;
Jeudi;13;Août;Hippolyte;;;
Vendredi;14;Août;Évrard;;;
Samedi;15;Août;Assomption / Marie;Fête de l'Assomption - S'il pleut à la mi-août les noisettes diminuent beaucoup;;
Dimanche;16;Août;Armel;;;
Lundi;17;Août;Hyacinthe;;;
Mardi;18;Août;Hélène;;;
Mercredi;19;Août;Jean Eudes;;;
Jeudi;20;Août;Bernard;À la Saint-Bernard écrase la noisette sous la dent;;
Vendredi;21;Août;Christophe;;;
Samedi;22;Août;Fabrice;;;
Dimanche;23;Août;Rose de Lima;;;
Lundi;24;Août;Barthélemy;À la Saint-Barthélemy paresseux à la vigne tu peux dire adieu;;
Mardi;25;Août;Louis;;;
Mercredi;26;Août;Natacha;;;
Jeudi;27;Août;Monique;;;
Vendredi;28;Août;Augustin;;;
Samedi;29;Août;Sabine;;;
Dimanche;30;Août;Fiacre;;;
Lundi;31;Août;Aristide;Août est de tous les mois le plus chaud c'est pourquoi tu dois lui tourner le dos;;
Mardi;1;Septembre;Gilles;Septembre se montre souvent comme un second printemps;;
Mercredi;2;Septembre;Ingrid;;;
Jeudi;3;Septembre;Grégoire;;;
Vendredi;4;Septembre;Rosalie;;;
Samedi;5;Septembre;Raïssa;;;
Dimanche;6;Septembre;Bertrand;;;
Lundi;7;Septembre;Reine;Pluie de septembre les bonnes terres rend tendres;;
Mardi;8;Septembre;Nativité de Marie;;;
Mercredi;9;Septembre;Alain;;;
Jeudi;10;Septembre;Inès;;;
Vendredi;11;Septembre;Adelphe;;;
Samedi;12;Septembre;Apollinaire;;;
Dimanche;13;Septembre;Aimé;;;
Lundi;14;Septembre;Croix Glorieuse;;;
Mardi;15;Septembre;Roland;;;
Mercredi;16;Septembre;Édith;;;
Jeudi;17;Septembre;Renaud;;;
Vendredi;18;Septembre;Nadège;;;
Samedi;19;Septembre;Émilie;;;
Dimanche;20;Septembre;Davy;;;
Lundi;21;Septembre;Matthieu;Si Matthieu pleure au lieu de rire le vin en vinaigre vire;;
Mardi;22;Septembre;Maurice;Automne - En septembre le fainéant peut aller se pendre;;
Mercredi;23;Septembre;Constant;À la Saint-Constant le temps change obligatoirement;;
Jeudi;24;Septembre;Thècle;;;
Vendredi;25;Septembre;Hermann;;;
Samedi;26;Septembre;Côme et Damien;;;
Dimanche;27;Septembre;Vincent de Paul;;;
Lundi;28;Septembre;Venceslas;;;
Mardi;29;Septembre;Michel;À la Saint-Michel la chaleur remonte au ciel;;
Mercredi;30;Septembre;Jérôme;Septembre en rosée abondante garde les vignes de disette;;
Jeudi;1;Octobre;Thérèse de l'Enfant-Jésus;Octobre en brumes sombres fait entrer l'hiver dans les chaumières;;
Vendredi;2;Octobre;Léger;;;
Samedi;3;Octobre;Gérard;;;
Dimanche;4;Octobre;François d'Assise;À la Saint-François la neige est sur le bois;;
Lundi;5;Octobre;Fleur;;;
Mardi;6;Octobre;Bruno;;;
Mercredi;7;Octobre;Serge;;;
Jeudi;8;Octobre;Pélagie;;;
Vendredi;9;Octobre;Denis;À la Saint-Denis bouche ton baril;;
Samedi;10;Octobre;Ghislain;;;
Dimanche;11;Octobre;Firmin;;;
Lundi;12;Octobre;Wilfried;;;
Mardi;13;Octobre;Géraud;En octobre qui ne fume rien ne récolte rien;;
Mercredi;14;Octobre;Juste;;;
Jeudi;15;Octobre;Thérèse d'Avila;;;
Vendredi;16;Octobre;Edwige;;;
Samedi;17;Octobre;Baudouin;;;
Dimanche;18;Octobre;Luc;;;
Lundi;19;Octobre;René;;;
Mardi;20;Octobre;Adeline;;;
Mercredi;21;Octobre;Céline;;;
Jeudi;22;Octobre;Élodie;;;
Vendredi;23;Octobre;Jean de Capistran;;;
Samedi;24;Octobre;Florentin;;;
Dimanche;25;Octobre;Crépin;Passage à l'heure d'hiver;;
Lundi;26;Octobre;Dimitri;;;
Mardi;27;Octobre;Émeline;;;
Mercredi;28;Octobre;Simon et Jude;;;
Jeudi;29;Octobre;Narcisse;;;
Vendredi;30;Octobre;Bienvenue;;;
Samedi;31;Octobre;Quentin;Halloween - Brouillard d'octobre pluie de novembre font bon décembre;;
Dimanche;1;Novembre;Toussaint;Toussaint - À la Toussaint commence l'été de la Saint-Martin;;
Lundi;2;Novembre;Défunts;Jour des morts;;
Mardi;3;Novembre;Hubert;;;
Mercredi;4;Novembre;Charles;À la Saint-Charles la gelée parle;;
Jeudi;5;Novembre;Sylvie;;;
Vendredi;6;Novembre;Bertille;;;
Samedi;7;Novembre;Carine;;;
Dimanche;8;Novembre;Geoffroy;;;
Lundi;9;Novembre;Théodore;;;
Mardi;10;Novembre;Léon;À la Saint-Léon les arbres perdent leur robe;;
Mercredi;11;Novembre;Martin;Armistice 1918 - À la Saint-Martin bois le vin et laisse l'eau au moulin;;
Jeudi;12;Novembre;Christian;;;
Vendredi;13;Novembre;Brice;À la Saint-Brice le soleil brille encore pour Maurice;;
Samedi;14;Novembre;Sidoine;;;
Dimanche;15;Novembre;Albert;;;
Lundi;16;Novembre;Marguerite;;;
Mardi;17;Novembre;Élisabeth;;;
Mercredi;18;Novembre;Aude;;;
Jeudi;19;Novembre;Tanguy;;;
Vendredi;20;Novembre;Edmond;;;
Samedi;21;Novembre;Présentation de Marie;Quand l'hiver vient avant novembre il ne fait que courir;;
Dimanche;22;Novembre;Cécile;À la Sainte-Cécile si l'on voit le soleil briller c'est un hiver menaçant;;
Lundi;23;Novembre;Clément;Saint-Clément montre rarement beau temps;;
Mardi;24;Novembre;Flora;;;
Mercredi;25;Novembre;Catherine;À la Sainte-Catherine tout bois prend racine;;
Jeudi;26;Novembre;Delphine;;;
Vendredi;27;Novembre;Séverin;;;
Samedi;28;Novembre;Jacques de la Marche;;;
Dimanche;29;Novembre;Saturnin;Avent - 1er dimanche de l'Avent;;
Lundi;30;Novembre;André;Quand l'hiver n'est pas pressé il arrive à la Saint-André;;
Mardi;1;Décembre;Florence;Décembre aux pieds blancs s'en vient an nouveau branlant;;
Mercredi;2;Décembre;Viviane;;;
Jeudi;3;Décembre;François-Xavier;;;
Vendredi;4;Décembre;Barbara;À la Sainte-Barbe le soleil peu arde;;
Samedi;5;Décembre;Gérald;;;
Dimanche;6;Décembre;Nicolas;Saint-Nicolas - Soleil de Saint-Nicolas donne froid pour trois mois;;
Lundi;7;Décembre;Ambroise;;;
Mardi;8;Décembre;Immaculée Conception;;;
Mercredi;9;Décembre;Pierre Fourier;;;
Jeudi;10;Décembre;Romaric;;;
Vendredi;11;Décembre;Daniel;;;
Samedi;12;Décembre;Jeanne de Chantal;;;
Dimanche;13;Décembre;Lucie;À la Sainte-Lucie les jours croissent du saut d'une puce;;
Lundi;14;Décembre;Odile;;;
Mardi;15;Décembre;Ninon;;;
Mercredi;16;Décembre;Alice;;;
Jeudi;17;Décembre;Gaël;;;
Vendredi;18;Décembre;Gatien;;;
Samedi;19;Décembre;Urbain;;;
Dimanche;20;Décembre;Théophile;;;
Lundi;21;Décembre;Pierre Canisius;Hiver - Le jour le plus court de l'année;;
Mardi;22;Décembre;Françoise-Xavière;Décembre de froid trop chiche ne fait pas le paysan riche;;
Mercredi;23;Décembre;Armand;;;
Jeudi;24;Décembre;Adèle;Réveillon de Noël;;
Vendredi;25;Décembre;Noël;Noël - Noël au balcon Pâques au tison;;
Samedi;26;Décembre;Étienne;;;
Dimanche;27;Décembre;Jean;;;
Lundi;28;Décembre;Innocents;;;
Mardi;29;Décembre;David;;;
Mercredi;30;Décembre;Roger;;;
Jeudi;31;Décembre;Sylvestre;Réveillon du Nouvel An - An de neige an de bien;;
